file,bug,bf,loc,hcm,defect
org::eclipse::jdt::core::BindingKey,0,7,82,17.6471,0
org::eclipse::jdt::core::BufferChangedEvent,0,0,18,6.70304,0
org::eclipse::jdt::core::CheckDebugAttributes,0,3,50,10.4982,0
org::eclipse::jdt::core::ClasspathContainerInitializer,0,4,69,7.05208,0
org::eclipse::jdt::core::ClasspathVariableInitializer,0,0,3,4.07501,0
org::eclipse::jdt::core::compiler::batch::BatchCompiler,0,1,6,2.2601,0
org::eclipse::jdt::core::compiler::BuildContext,0,3,56,3.92315,0
org::eclipse::jdt::core::compiler::CategorizedProblem,0,4,6,8.58795,0
org::eclipse::jdt::core::compiler::CharOperation,0,20,845,27.6193,0
org::eclipse::jdt::core::compiler::CompilationParticipant,1,5,24,12.3914,1
org::eclipse::jdt::core::compiler::CompilationProgress,0,1,0,0,0
org::eclipse::jdt::core::compiler::InvalidInputException,0,1,3,7.82241,0
org::eclipse::jdt::core::compiler::ReconcileContext,0,4,44,7.99162,0
org::eclipse::jdt::core::CompletionContext,1,14,123,10.2625,1
org::eclipse::jdt::core::CompletionFlags,0,1,6,0,0
org::eclipse::jdt::core::CompletionProposal,1,19,347,20.2197,1
org::eclipse::jdt::core::CompletionRequestor,0,10,79,13.4356,0
org::eclipse::jdt::core::CompletionRequestorAdapter,0,0,42,5.07933,0
org::eclipse::jdt::core::CorrectionEngine,1,6,128,13.0232,1
org::eclipse::jdt::core::dom::AbstractTypeDeclaration,0,6,61,4.13346,0
org::eclipse::jdt::core::dom::Annotation,0,5,53,7.93371,0
org::eclipse::jdt::core::dom::AnnotationBinding,2,11,190,10.0587,1
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration,0,6,98,6.84846,0
org::eclipse::jdt::core::dom::AnnotationTypeMemberDeclaration,0,8,170,6.84846,0
org::eclipse::jdt::core::dom::AnonymousClassDeclaration,0,7,53,7.95479,0
org::eclipse::jdt::core::dom::ArrayAccess,0,8,109,7.95479,0
org::eclipse::jdt::core::dom::ArrayCreation,0,9,110,9.64599,0
org::eclipse::jdt::core::dom::ArrayInitializer,0,5,45,7.95479,0
org::eclipse::jdt::core::dom::ArrayType,0,9,87,7.95479,0
org::eclipse::jdt::core::dom::AssertStatement,0,8,98,7.95479,0
org::eclipse::jdt::core::dom::Assignment,0,9,132,7.95479,0
org::eclipse::jdt::core::dom::AST,0,66,804,24.6967,0
org::eclipse::jdt::core::dom::ASTConverter,1,196,1947,37.2855,1
org::eclipse::jdt::core::dom::ASTMatcher,0,11,52,7.97103,0
org::eclipse::jdt::core::dom::ASTNode,0,26,657,14.5995,0
org::eclipse::jdt::core::dom::ASTParser,1,38,426,28.8029,1
org::eclipse::jdt::core::dom::ASTRecoveryPropagator,0,7,261,8.11626,0
org::eclipse::jdt::core::dom::ASTRequestor,0,2,20,2.96868,0
org::eclipse::jdt::core::dom::ASTSyntaxErrorPropagator,0,6,62,6.89725,0
org::eclipse::jdt::core::dom::ASTVisitor,0,5,15,7.97103,0
org::eclipse::jdt::core::dom::BindingComparator,0,19,3,18.3087,0
org::eclipse::jdt::core::dom::BindingResolver,0,23,105,14.6512,0
org::eclipse::jdt::core::dom::Block,0,5,47,7.95479,0
org::eclipse::jdt::core::dom::BlockComment,0,3,31,7.95479,0
org::eclipse::jdt::core::dom::BodyDeclaration,0,6,74,2.96868,0
org::eclipse::jdt::core::dom::BooleanLiteral,0,5,52,7.95479,0
org::eclipse::jdt::core::dom::BreakStatement,0,6,59,7.95479,0
org::eclipse::jdt::core::dom::CastExpression,0,8,106,7.95479,0
org::eclipse::jdt::core::dom::CatchClause,0,8,107,7.95479,0
org::eclipse::jdt::core::dom::CharacterLiteral,1,9,220,14.7589,1
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor,0,1,14,6.70304,0
org::eclipse::jdt::core::dom::ChildPropertyDescriptor,0,1,18,6.70304,0
org::eclipse::jdt::core::dom::ClassInstanceCreation,0,14,208,9.64335,0
org::eclipse::jdt::core::dom::Comment,0,0,24,4.07501,0
org::eclipse::jdt::core::dom::CompilationUnit,0,38,344,21.3966,0
org::eclipse::jdt::core::dom::CompilationUnitResolver,0,54,282,29.1299,0
org::eclipse::jdt::core::dom::ConditionalExpression,0,8,141,7.95479,0
org::eclipse::jdt::core::dom::ConstructorInvocation,0,7,76,6.84846,0
org::eclipse::jdt::core::dom::ContinueStatement,0,6,59,7.95479,0
org::eclipse::jdt::core::dom::DefaultASTVisitor,0,7,15,7.76307,0
org::eclipse::jdt::core::dom::DefaultBindingResolver,1,110,1106,31.5924,1
org::eclipse::jdt::core::dom::DefaultCommentMapper,0,24,393,12.8915,0
org::eclipse::jdt::core::dom::DefaultValuePairBinding,0,5,20,1.66466,0
org::eclipse::jdt::core::dom::DocCommentParser,1,36,638,16.6898,1
org::eclipse::jdt::core::dom::DoStatement,0,10,106,7.95479,0
org::eclipse::jdt::core::dom::EmptyStatement,0,5,29,7.95479,0
org::eclipse::jdt::core::dom::EnhancedForStatement,0,5,141,6.84846,0
org::eclipse::jdt::core::dom::EnumConstantDeclaration,0,9,141,8.43242,0
org::eclipse::jdt::core::dom::EnumDeclaration,0,8,118,6.84846,0
org::eclipse::jdt::core::dom::Expression,0,2,15,2.96868,0
org::eclipse::jdt::core::dom::ExpressionStatement,0,8,72,7.95479,0
org::eclipse::jdt::core::dom::FieldAccess,0,10,109,7.95479,0
org::eclipse::jdt::core::dom::FieldDeclaration,0,13,136,8.43242,0
org::eclipse::jdt::core::dom::ForStatement,0,11,117,7.95479,0
org::eclipse::jdt::core::dom::IfStatement,0,10,128,7.95479,0
org::eclipse::jdt::core::dom::ImportDeclaration,0,10,121,8.43242,0
org::eclipse::jdt::core::dom::InfixExpression,0,11,158,7.95479,0
org::eclipse::jdt::core::dom::Initializer,0,11,125,6.84846,0
org::eclipse::jdt::core::dom::InstanceofExpression,0,8,106,7.95479,0
org::eclipse::jdt::core::dom::InternalASTRewrite,0,3,163,7.06348,0
org::eclipse::jdt::core::dom::Javadoc,0,8,108,6.84846,0
org::eclipse::jdt::core::dom::LabeledStatement,0,9,107,7.95479,0
org::eclipse::jdt::core::dom::LineComment,0,3,31,7.95479,0
org::eclipse::jdt::core::dom::MarkerAnnotation,0,4,54,5.59671,0
org::eclipse::jdt::core::dom::MemberRef,0,3,95,6.70304,0
org::eclipse::jdt::core::dom::MemberValuePair,0,6,109,8.03932,0
org::eclipse::jdt::core::dom::MemberValuePairBinding,0,6,152,3.42644,0
org::eclipse::jdt::core::dom::Message,0,2,27,5.26021,0
org::eclipse::jdt::core::dom::MethodBinding,0,59,290,34.7321,0
