x1 ,x2,x3,x4,y1,y2
0,0,0.1,0.5,0.2,0.2
0.1,0.5,0.2,0.2,0.5,0.3
0.2,0.2,0.5,0.3,0.5,0.3
0.5,0.3,0.5,0.3,0.5,0.7
0.5,0.3,0.5,0.7,0.9,0.5
0.5,0.7,0.9,0.5,1,1
0,0,0.1,0.5,0.5,0.3
0.1,0.5,0.5,0.3,0.5,0.7
0.5,0.3,0.5,0.7,0.5,0.3
0.5,0.7,0.5,0.3,0.5,0.7
0.5,0.3,0.5,0.7,0.5,0.3
0.5,0.7,0.5,0.3,0.5,0.7
0.5,0.3,0.5,0.7,0.9,0.5
0.5,0.7,0.9,0.5,1,1
0,0,0.1,0.5,0.5,0.7
0.1,0.5,0.5,0.7,0.5,0.7
0.5,0.7,0.5,0.7,0.5,0.7
0.5,0.7,0.5,0.7,0.9,0.5
0.5,0.7,0.9,0.5,1,1
0,0,0.1,0.5,0.5,0.3
0.1,0.5,0.5,0.3,0.9,0.5
0.5,0.3,0.9,0.5,0.1,0.5
0.9,0.5,0.1,0.5,0.5,0.7
0.1,0.5,0.5,0.7,0.9,0.5
0.5,0.7,0.9,0.5,1,1
0,0,0.2,0.2,0.5,0.3
0.2,0.2,0.5,0.3,0.5,0.7
0.5,0.3,0.5,0.7,1,1
0,0,0.1,0.5,0.5,0.5
0.1,0.5,0.5,0.5,0.5,0.3
0.5,0.5,0.5,0.3,0.9,0.5
0.5,0.3,0.9,0.5,1,1
0,0,0.1,0.5,0.2,0.2
0.1,0.5,0.2,0.2,0.5,0.3
0.2,0.2,0.5,0.3,0.2,0.2
0.5,0.3,0.2,0.2,0.5,0.3
0.2,0.2,0.5,0.3,0.9,0.5
0.5,0.3,0.9,0.5,1,1
0,0,0.5,0.5,0.5,0.3
0.5,0.5,0.5,0.3,1,1
0,0,0.1,0.5,0.2,0.2
0.1,0.5,0.2,0.2,0.5,0.7
0.2,0.2,0.5,0.7,0.5,0.7
0.5,0.7,0.5,0.7,0.5,0.7
0.5,0.7,0.5,0.7,0.9,0.5
0.5,0.7,0.9,0.5,1,1
0,0,0.1,0.5,0.2,0.2
0.1,0.5,0.2,0.2,0.5,0.3
0.2,0.2,0.5,0.3,0.5,0.7
0.5,0.3,0.5,0.7,0.2,0.2
0.5,0.7,0.2,0.2,0.5,0.3
0.2,0.2,0.5,0.3,0.5,0.7
0.5,0.3,0.5,0.7,0.9,0.5
0.5,0.7,0.9,0.5,1,1
